year_of_data_collection,center_tree_number,microplot_NESW,number_new_with_cotyledons,percent_cover_0_0.5_1_3.5_8_15.5_25.5_etc,northeast_number_established_short,southeast_number_established_short,southwest_number_established_short,northwest_number_established_short,northeast_number_established_tall,southeast_number_established_tall,southwest_number_established_tall,northwest_number_established_tall,area_of_microplot_m_squared,ash_seedlings_notes
2024,9,W,0,3.5,0,0,0,1,0,0,0,0,4.06,beech seedling - fallen leaves
2024,8,N,0,3.5,0,1,0,4,0,1,0,1,4.06,tall grasses - fallen leaves
2024,8,E,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
2024,8,S,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
2024,8,W,0,3.5,0,0,0,0,0,0,1,1,4.06,American jumpseed - fallen leaves
2024,21,N,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves - short grasses
2024,21,E,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
2024,21,S,0,0,0,0,0,0,0,0,0,0,4.06,American jumpseed - fallen leaves
2024,21,W,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
2024,19,N,0,1,0,0,1,0,0,0,0,0,4.06,fallen leaves
2024,19,E,0,1,0,0,0,0,0,2,0,0,4.06,fallen leaves - galls on ash
2024,19,S,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
2024,19,W,0,8,2,1,5,0,0,0,1,2,4.06,one ash seedling with dying leaves
2024,10,N,0,8,0,0,0,0,0,2,1,0,4.06,CWD - FWD - virginia creeper - bitternut hickory - potential deer browse
2024,10,E,0,15.5,0,0,0,0,1,0,0,1,4.06,Rubus - short grasses - mud - cherry - American jumpseed
2024,10,S,0,15.5,0,0,0,0,0,0,1,0,4.06,fallen leaves - FWD - Rubus
2024,10,W,0,15.5,0,0,0,2,0,2,2,0,4.06,virginia creeper - currant or gooseberry
2024,11,N,0,15.5,0,0,0,0,0,1,1,0,4.06,Rubus
2024,11,E,0,25.5,0,0,0,1,1,1,1,2,4.06,Rubus - virginia creeper
2024,11,S,0,25.5,0,1,0,0,0,3,1,0,4.06,Privet or honeysuckle (seed photo)
2024,11,W,0,25.5,0,0,0,0,3,2,0,1,4.06,cherry
2024,12,N,0,0,0,0,0,0,0,0,0,0,4.06,short grasses - virginia creeper - dogwood
2024,12,E,0,3.5,0,0,0,0,0,1,0,0,4.06,short grasses - Rubus - may apple
2024,12,S,0,0,0,0,0,0,0,0,0,0,4.06,poison ivy - Rubus - short grasses - CWD
2024,12,W,0,0,0,0,0,0,0,0,0,0,4.06,virginia creeper - oak seedling - honeysuckle - American jumpseed
2024,5,N,0,0,0,0,0,0,0,0,0,0,4.06,fine woody debris - Rubus
2024,5,E,0,3.5,0,0,0,0,1,0,0,0,4.06,musclewood
2024,5,S,0,3.5,0,0,0,0,0,0,1,0,4.06,CWD
2024,5,W,0,0,0,0,0,0,0,0,0,0,4.06,bitternut hickory - Rubus - fallen leaves
2024,15,N,0,8,0,0,0,0,1,0,0,0,4.06,may apple - fallen leaves - Celastrus
2024,15,E,0,3.5,2,0,0,1,1,0,1,0,4.06,galls on ash - fallen leaves
2024,15,S,0,3.5,0,0,0,1,0,0,0,0,4.06,fallen leaves
2024,15,W,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
2024,13,N,0,8,1,0,3,1,1,0,0,0,4.06,fallen leaves
2024,13,E,0,8,2,1,4,0,1,2,0,0,4.06,fallen leaves
2024,13,S,0,3.5,1,0,1,1,1,0,0,1,4.06,CWD - fallen leaves - bittersweet
2024,13,W,0,3.5,1,0,1,1,2,0,0,0,4.06,may apple - fallen leaves
2024,91,N,0,3.5,0,0,1,0,0,0,1,0,4.06,FWD - brambles - bare ground
2024,91,E,0,8,0,0,0,0,1,0,0,1,4.06,short grasses - bare ground - serviceberry (?)
2024,91,S,0,15.5,1,0,0,3,1,2,1,0,4.06,fallen leaves - short grasses - FWD - dogwood
2024,91,W,0,8,0,0,0,0,0,0,0,1,4.06,fallen leaves - CWD - poison ivy
2024,22,N,0,3.5,0,0,0,0,1,0,0,0,4.06,grass hummocks
2024,22,E,0,0,0,0,0,0,0,0,0,0,4.06,interesting shrubs (possibly Ilex) - flooded
2024,22,S,0,15.5,0,0,0,0,1,0,0,0,4.06,flooded - short grasses - swamp white oak seedling
2024,22,W,0,0,0,0,0,0,0,0,0,0,4.06,spicebush - muddy - skunk cabbage - flooded
2024,17,N,0,3.5,0,0,0,0,1,1,0,0,4.06,spicebush
2024,17,E,0,0.5,0,0,0,1,0,0,0,0,4.06,beech
2024,17,S,0,8,0,0,0,0,0,0,0,2,4.06,ferns - witchhazel
2024,17,W,0,0,0,0,0,0,0,0,0,0,4.06,flooded - mud - hummocks
2024,64,N,0,3.5,0,0,0,0,0,0,1,0,4.06,grass hummocks - flooded
2024,64,E,0,35.5,1,0,0,1,1,4,0,0,4.06,fallen leaves - CWD
2024,64,S,0,15.5,0,3,3,0,1,1,2,0,4.06,flooded - fallen leaves - spicebush
2024,64,W,0,25.5,1,0,0,0,3,1,1,0,4.06,flooded - skunk cabbage
2024,65,N,0,0.5,0,0,0,0,1,0,0,0,4.06,flooded - spicebush - musclewood (?)
2024,65,E,0,8,0,2,0,0,0,1,1,0,4.06,spicebush - fallen leaves
2024,65,S,0,3.5,0,0,4,0,0,0,0,0,4.06,spicebush
2024,65,W,0,3.5,0,0,0,0,0,0,1,0,4.06,flooded - tall grasses
2024,24,N,0,0,0,0,0,0,0,0,0,0,4.06,flooded - skunk cabbage - mud
2024,24,E,0,0,0,0,0,0,0,0,0,0,4.06,ferns - short grasses - mud - skunk cabbage
2024,24,S,0,0,0,0,0,0,0,0,0,0,4.06,mud - flooded - skunk cabbage
2024,24,W,0,0,0,0,0,0,0,0,0,0,4.06,mud - flooded - skunk cabbage
2024,102,N,0,75.5,5,4,5,3,5,3,1,4,4.06,fallen leaves - dogwood - cherry (?) - viburnum - Celastrus
2024,102,E,0,25.5,1,4,2,2,6,2,5,0,4.06,fallen leaves - American Hog Peanut
2024,102,S,0,55.5,2,3,0,4,4,6,2,5,4.06,
2024,102,W,0,8,2,3,2,5,1,2,1,0,4.06,bitternut hickory
2025,92,N,0,8,1,0,1,0,0,0,2,1,4.06,sedges
2025,92,E,0,3.5,1,0,0,0,0,1,0,2,4.06,
2025,92,S,0,8,0,0,0,0,1,1,0,0,4.06,
2025,92,W,0,8,2,0,0,0,2,2,1,2,4.06,
2025,93,N,0,3.5,1,3,0,0,1,0,0,1,4.06,
2025,93,E,0,3.5,0,0,1,0,1,0,0,0,4.06,oak seedlings
2025,93,S,0,15.5,0,0,0,0,2,1,0,0,4.06,
2025,93,W,0,3.5,0,0,0,0,1,0,0,0,4.06,virginia creeper
2025,4,N,0,8,0,0,0,0,3,0,1,2,4.06,
2025,4,E,0,1,0,0,0,0,0,0,1,0,4.06,
2025,4,S,0,1,0,0,0,0,0,1,0,0,4.06,
2025,4,W,0,3.5,0,0,0,0,0,0,0,1,4.06,
2025,6,N,0,15.5,0,0,0,0,0,0,3,3,4.06,
2025,6,E,0,0,0,0,0,0,0,0,0,0,4.06,
2025,6,S,0,8,0,0,0,0,2,1,0,0,4.06,underwater
2025,6,W,0,0,0,0,0,0,0,0,0,0,4.06,underwater
2025,94,N,0,1,0,0,0,1,0,0,0,0,4.06,
2025,94,E,0,55.5,2,2,6,0,2,1,7,5,4.06,
2025,94,S,0,25.5,3,0,1,5,2,2,1,4,4.06,
2025,94,W,0,15.5,0,0,0,2,1,1,4,0,4.06,
2025,95,N,0,65.5,1,6,10,2,5,1,6,3,4.06,
2025,95,E,0,8,5,2,0,5,3,0,0,1,4.06,
2025,95,S,0,15.5,0,0,0,0,1,3,1,2,4.06,
2025,95,W,0,15.5,2,0,1,0,2,2,3,1,4.06,
2025,106,N,0,15.5,0,0,0,0,5,2,0,1,4.06,
2025,106,E,0,0,0,0,0,0,0,0,0,0,4.06,
2025,106,S,0,0,0,0,0,0,0,0,0,0,4.06,
2025,106,W,0,0,0,0,0,0,0,0,0,0,4.06,
2025,107,N,0,8,0,0,0,0,0,1,1,0,4.06,
2025,107,E,0,0,0,0,0,0,0,0,0,0,4.06,
2025,107,S,0,0,0,0,0,0,0,0,0,0,4.06,
2025,107,W,0,0,0,0,0,0,0,0,0,0,4.06,
2025,1,N,0,3.5,0,0,1,0,1,0,1,1,4.06,
2025,1,E,0,8,0,1,1,0,1,2,0,3,4.06,
2025,1,S,0,15.5,0,0,1,1,3,2,2,1,4.06,
2025,1,W,0,8,0,0,1,0,3,1,5,0,4.06,
2025,2,N,0,0,0,0,0,0,0,0,0,0,4.06,
2025,2,E,0,0,0,0,0,0,0,0,0,0,4.06,
2025,2,S,0,0,0,0,0,0,0,0,0,0,4.06,
2025,2,W,0,0.5,0,0,0,1,0,0,0,0,4.06,
2025,3,N,0,0,0,0,0,0,0,0,0,0,4.06,
2025,3,E,0,0,0,0,0,0,0,0,0,0,4.06,
2025,3,S,0,0,0,0,0,0,0,0,0,0,4.06,
2025,3,W,0,0,0,0,0,0,0,0,0,0,4.06,
2025,96,N,0,25.5,1,0,2,4,4,1,5,1,4.06,
2025,96,E,0,55.5,5,4,4,3,2,2,6,4,4.06,
2025,96,S,0,15.5,1,0,0,1,0,1,0,3,4.06,
2025,96,W,0,15.5,2,0,1,0,1,0,1,4,4.06,
2025,97,N,0,8,0,0,0,0,0,3,1,3,4.06,
2025,97,E,0,25.5,1,1,0,1,3,1,0,0,4.06,
2025,97,S,0,45.5,0,3,3,0,4,2,7,2,4.06,
2025,97,W,0,85.5,12,3,2,3,6,6,5,6,4.06,
2025,98,N,0,0,0,0,0,0,0,0,0,0,4.06,
2025,98,E,0,35.5,3,0,3,4,3,2,0,1,4.06,
2025,98,S,0,8,0,0,3,0,0,1,0,0,4.06,
2025,98,W,0,8,0,1,7,0,0,0,0,0,4.06,
2025,99,N,0,0,0,0,0,0,0,0,0,0,4.06,
2025,99,E,0,0,0,0,0,0,0,0,0,0,4.06,
2025,99,S,0,25.5,0,0,0,0,0,0,13,0,4.06,
2025,99,W,0,0.5,0,2,0,0,0,0,0,0,4.06,
2025,49,N,0,75.5,10,9,5,6,3,7,3,3,4.06,
2025,49,E,0,35.5,4,0,1,7,2,2,5,7,4.06,
2025,49,S,0,8,1,4,8,4,0,1,2,2,4.06,
2025,49,W,0,25.5,1,0,1,5,2,1,2,2,4.06,
2025,50,N,0,15.5,1,0,0,0,1,1,0,3,4.06,
2025,50,E,0,45.5,3,1,2,2,3,3,0,3,4.06,
2025,50,S,0,8,1,2,0,2,0,0,3,1,4.06,
2025,50,W,0,8,3,2,1,0,0,3,2,0,4.06,
2025,53,N,0,25.5,0,0,0,2,2,1,2,5,4.06,
2025,53,E,0,35.5,3,0,0,2,3,5,2,2,4.06,
2025,53,S,0,3.5,4,0,0,0,1,0,0,1,4.06,
2025,53,W,0,3.5,2,2,1,2,0,0,0,0,4.06,
2025,108,N,0,0,0,0,0,0,0,0,0,0,4.06,
2025,108,E,0,0,0,0,0,0,0,0,0,0,4.06,
2025,108,S,0,0,0,0,0,0,0,0,0,0,4.06,
2025,108,W,0,0,0,0,0,0,0,0,0,0,4.06,
2025,104,N,0,0,0,0,0,0,0,0,0,0,4.06,
2025,104,E,0,0,0,0,0,0,0,0,0,0,4.06,
2025,104,S,0,3.5,0,0,0,0,0,0,1,0,4.06,
2025,104,W,0,8,0,0,0,0,2,0,0,1,4.06,
2025,103,N,0,0,0,0,0,0,0,0,0,0,4.06,tall sedges
2025,103,E,0,0,0,0,0,0,0,0,0,0,4.06,
2025,103,S,0,0,0,0,0,0,0,0,0,0,4.06,
2025,103,W,0,0,0,0,0,0,0,0,0,0,4.06,
2025,105,N,0,0,0,0,0,0,0,0,0,0,4.06,
2025,105,E,0,0,0,0,0,0,0,0,0,0,4.06,
2025,105,S,0,3.5,0,0,0,0,0,0,0,1,4.06,
2025,105,W,0,0,0,0,0,0,0,0,0,0,4.06,
2025,61,N,0,0,0,0,0,0,0,0,0,0,4.06,The kind of plant that comes up after floodwaters recede - also dogwood
2025,61,E,0,0,0,0,0,0,0,0,0,0,4.06,
2025,61,S,0,0,0,0,0,0,0,0,0,0,4.06,Swamp white oak
2025,61,W,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves and muck
2025,23,N,0,0,0,0,0,0,0,0,0,0,4.06,Possible newly germinated ash seedlings just outside the microplot
2025,23,E,0,8,0,0,0,0,0,0,0,4,4.06,Water forget-me-not flowers
2025,23,S,0,0,0,0,0,0,0,0,0,0,4.06,
2025,23,W,0,0,0,0,0,0,0,0,0,0,4.06,
2025,66,N,0,8,0,0,0,0,0,2,0,0,4.06,
2025,66,E,0,0,0,0,0,0,0,0,0,0,4.06,
2025,66,S,0,3.5,0,0,0,0,2,0,0,0,4.06,
2025,66,W,0,0,0,0,0,0,0,0,0,0,4.06,
