"center_tree_number","mstrlvl","plotmstr","Park","Lat","Lon","Transect","Plot_ID","Directions","Center_tree","Date_relocated_2024","Directions_updated_2024","ash_plot_centers_notes_2024","Center_tree_updated_2024","Center_tree_2024_species","Center_tree_2024_total_DBH_cm","Center_tree_2024_number_of_stems","seedlings_done_y_n","saplings_done_y_n","trees_done_y_n","number_microplots","mean_percent_cover_seedlings","mean_density_short_seedlings","mean_density_tall_seedlings","mean_density_seedlings","total_number_short_seedlings","total_number_tall_seedlings","total_number_seedlings","number_subplot_quadrants","number_saplings","number_subplot_quadrants_with_black_ash_saplings","number_subplot_quadrants_with_green_white_pumpkin_ash_saplings","number_saplings_with_signs_symptoms","density_saplings_stems_per_m_squared","number_small_trees","number_small_trees_green_white_or_pumpkin","number_small_trees_black","number_small_trees_unknown_species","basal_area_small_trees_in_m_squared","number_living_small_trees","basal_area_living_small_trees_in_m_squared","number_healthy_small_trees","number_declining_small_trees","number_dead_small_trees","density_small_trees_stems_per_ha","basal_area_small_trees_m_squared_per_ha","density_living_small_trees_stems_per_ha","basal_area_living_small_trees_m_squared_per_ha","number_big_trees","number_living_big_trees","basal_area_big_trees_in_m_squared","basal_area_living_big_trees_in_m_squared","density_big_trees_stems_per_ha","basal_area_big_trees_m_squared_per_ha","density_living_big_trees_stems_per_ha","basal_area_living_big_trees_m_squared_per_ha"
45,"hydric",5,"Kensington",42.53146534,-83.6685188,"J","KENWET3B","4th Kenwet plot.From KENWET3 go further back into stand (45 degrees) away from boardwalk.","Acer palmatum (Japanese maple)    9.8 cm.","05_30_2024","","Hummocks of plants and flooded muddy areas - many ferns - cattail - one birch - tamarack - Ilex (winterberry) - poison sumac","10.9 dbh Acer spp.","Acer spp.","10.9",1,"y","y","y",4,0,0,0,0,0,0,0,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"xeric",2,"Pontiac Lake",42.67601991,-83.48374379,"L","PONUP","Gale Rd.  Hike in ~ 50m.  Turn left into stand at flagged red maple seedling (leaning) ~3m from trail edge.  Bear slightly to left to find center tree. 1st plot on left.","Acer rubrum  15.7 cm.","05_16_2024","Next to a grapevine","","Acer rubrum 15.9 cm","Acer rubrum","15.9",1,"y","y","y",4,36.125,4.064039408867,2.70935960591133,6.77339901477833,66,44,110,4,6,NA,NA,0,0.0298415414150859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"xeric",2,"Pontiac Lake",42.67639534,-83.48336561,"L","PONUP2","Gale Rd.  Look for flagged elm sapling on left ~2m from edge of trail.  Turn left into stand. Something buried at plot ctr.-stone ring. 2nd plot on Lt.","Acer rubrum 30.0 cm.","05_16_2024","","","Acer rubrum 40.0 cm","Acer rubrum","40",1,"y","y","y",4,19.25,1.23152709359606,1.41625615763547,2.64778325123153,20,23,43,4,3,NA,NA,0,0.0149207707075429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"xeric",2,"Pontiac Lake",42.67695181,-83.48354417,"L","PONUP3","Continue N on trail from PONUP2.  Flagged elm sapling on L.  Enter stand and head SW to flagged white oak.3rd plot on left.","Quercus alba  30.3 cm.","06_05_2024","","","31.8 cm white oak","Quercus alba","31.8",1,"y","y","y",4,11.25,3.01724137931035,1.29310344827586,4.31034482758621,49,21,70,4,3,NA,NA,0,0.0149207707075429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"mesic",3,"Pontiac Lake",42.67737591,-83.4842027,"M","PONHD","Go North West from PONUP3.  Farthest back on hump beneath ridge.","Quercus rubra 28.7 cm.","06_06_2024","","Big basswoods - oak - one ash seedling has all leaves wilted and yellow","35.0 cm red oak","Quercus rubra","35",1,"y","y","y",4,38,3.87931034482759,2.70935960591133,6.58866995073892,63,44,107,4,9,NA,NA,1,0.0447623121226288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,"mesic",1,"Pontiac Lake",42.67763539,-83.48494077,"M","PONHD2","Gale Rd. trail to T intersection (~.15mi), go left around the bend and up hill.  Go L (SW) into stand at flag.  On top of ridge.","Quercus rubra 18.7 cm.","05_16_2024","","a lot of vine pressure at this site - vines are competing with ash trees","Q. rubra 28.1 cm","Quercus rubra","28.1",1,"y","y","y",4,17,1.10837438423645,1.47783251231527,2.58620689655172,18,24,42,4,88,NA,NA,0,0.437675940754593,3,0,0,3,0.00258985044380309,3,0.00258985044380309,3,0,0,149.207707075429,0.128808548796047,149.207707075429,0.128808548796047,0,0,0,0,0,0,0,0
54,"mesic",3,"Pontiac Lake",42.67619344,-83.48458083,"M","PONHD3","South of PONHD2.  Chair plot on backside from swamp. ","Large tooth aspen (dying) 33.5 cm.","06_06_2024","","","Bigtooth aspen 34.7 cm","Populus grandidentata","34.7",1,"y","y","y",4,27.5,4.67980295566502,1.10837438423645,5.78817733990148,76,18,94,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"xeric",2,"Pontiac Lake",42.67628637,-83.48161802,"N","PONEAST","Gale Rd. trail to flagged elm on right.  Use GPS to navigate to plot (3rd plot in).    Pond to S. of plot ~80m. ","Carya ovata 30.9 cm.           ","07_03_2024","","Basswoods - red oaks - hickories - red maple - sugar maple - Ostryia - maybe Carpinus - lots of spring wildflowers and ghost pipe in the understory - ash mostly in the seedling size","Carya spp. 38.1 cm (tree tag mostly swallowed)","Carya spp.","38.1",1,"y","y","y",4,12.5,1.97044334975369,1.41625615763547,3.38669950738916,32,23,55,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"xeric",2,"Pontiac Lake",42.67644003,-83.48223133,"N","PONEAST2","Gale Rd. to flagged elm.  Go east (R) into stand. ","Sassafras albidium 13.2 cm.","06_21_2024","","","Sassafras 16.8 cm","Sassafras albidium","16.8",1,"y","y","y",4,38,3.01724137931035,1.90886699507389,4.92610837438424,49,31,80,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"xeric",2,"Pontiac Lake",42.67655527,-83.4827693,"N","PONEAST3","Gale Rd.  to flagged elm.  Go east (R) into stand. Closest poneast plot to trail.","Quercus rubra 31.9 cm.","06_14_2024","","","39.7 cm DBH Quercus rubra - Tree tag swallowed or missing","Quercus rubra","39.7",1,"y","y","y",4,43.625,3.14039408866995,2.77093596059113,5.91133004926108,51,45,96,4,1,NA,NA,0,0.00497359023584765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"xeric",1,"Pontiac Lake",42.67697644,-83.48225793,"O","PONRT","Gale Rd. trail to second flagged tree on right side of trail.  Enter stand and head east.  Follow GPS to PONRT. Way back  in middle.On hill looks down on swamp. Annie's ","Quercus rubra  29.2 cm.","07_03_2024","","","34.5 cm Quercus (red oak group) - tree tag partly swallowed","Quercus rubra","34.5",1,"y","y","y",4,33,3.20197044334975,1.84729064039409,5.04926108374384,52,30,82,4,5,NA,NA,1,0.0248679511792382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"xeric",1,"Pontiac Lake",42.67847161,-83.4821571,"O","PONRT2","Paper wasp nest in ground at E 18m. Gale Rd. path to T-intersection.  Take path to right.  Flagged hickory 3-4 m from trail on right marks entrance to plot. Annie's","Acer rubrum (2 fused trunks)  21.9 cm.","07_25_2024","","Bigger witchhazels in the understory - tulip poplar - Populus - red oak - Tilia - Acer - wingstem in understory","24.7 cm at DBH (2 fused trunks)","Acer rubrum","24.7",2,"y","y","y",4,2.25,0.61576354679803,0.184729064039409,0.800492610837439,10,3,13,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,"xeric",1,"Pontiac Lake",42.67796779,-83.48337831,"O","PONRT3","Gale Rd. trail to flagged red maple on right side of trail. Turn right into stand at large forked red oak. Scraggly.  Annie's","Hickory  28.9 cm.","07_12_2024","","Red oak - red maple - hickory (mockernut?, shagbark?) - dogwood (alternate leaved?) - white oak - cherry (choke cherry?) - sassafrass - viburnum in understory","29.9 cm hickory","Carya spp.","29.9",1,"y","y","y",4,48.8333333333333,5.84975369458128,2.83251231527094,8.68226600985222,95,46,141,4,27,0,4,1,0.134286936367887,3,2,0,1,0.00163598437435688,2,0.00106342911324015,2,0,1,149.207707075429,0.0813671591030073,99.471804716953,0.0528906065412731,0,0,0,0,0,0,0,0
61,"hydric",4,"Island Lake",42.50511387,-83.711563,"P","ILRIP","Park at Riverbend picnic area and take yellow path.  Riparian area is on right before you come to bridge over Huron River.  Plot closest to river and bridge, not far in on left.","Acer saccharinum (5 stems) 6.1 + 3.8 + 2.4 + 2.5 + 2.1 + 5.0 cm. ","","","","","","",NA,"n","n","n",4,0,0,0,0,0,0,0,4,4,0,4,2,0.0198943609433906,11,10,1,0,0.0203528080062815,6,0.0132064701175281,4,2,5,547.094925943241,1.01226527172123,298.415414150859,0.656835708265515,0,0,0,0,0,0,0,0
62,"hydric",4,"Island Lake",42.50548015,-83.71130397,"P","ILRIP2","Go SE from ILRIP. Plot at back. (Most North)","Acer rubrum,  (2-stemmed) 12.2 + 7.9 cm.","07_31_2024","","Many silver maple - Ilex (winterberry) - swamp white oak - elms - open area has water plantain - also lots of buckthorn. The approx. 20 meter radius has some black ash in the 8-10 cm range. Also a 9.6 cm green ash.","16.8 + 9.2 cm Acer spp. 2-stem","Acer spp.","26",2,"y","y","y",4,2.875,0,0.246305418719212,0.246305418719212,0,4,4,4,4,NA,NA,0,0.0198943609433906,8,7,0,1,0.0094506961001615,7,0.00854277582327405,6,1,1,397.887218867812,0.470038898457267,348.151316509335,0.424882664216711,0,0,0,0,0,0,0,0
63,"hydric",4,"Island Lake",42.50506543,-83.71105671,"P","ILRIP3","South of ILRIP2. Plot closest to trail on right.  ","Acer saccharinum         23.1 cm.","06_20_2024","","","30.2 cm Acer","Acer spp.","30.2",1,"y","y","y",4,2,0,0.307881773399015,0.307881773399015,0,5,5,4,23,NA,NA,3,0.114392575424496,63,55,1,7,0.127205442738341,59,0.104731274292723,46,13,4,3133.36184858402,6.3266774795009,2934.41823915011,5.20890443210169,0,0,0,0,0,0,0,0
64,"hydric",4,"Island Lake",42.49871458,-83.71880034,"Q","ILCC","(Canoe camp) Park across  road. Enter at gate on 2 track..  Take trail to the left at outhouse.  At canoe camp #2 enter woods heading SE to flagged black ash tree","Quercus  12.5 cm.                              ","08_07_2024","","Red oak - swamp white oak - musclewood - Tilia - sugar maple - elm - ash up to 7-8 cm DBH","16.8 cm Quercus bicolor","Quercus bicolor","16.8",1,"y","y","y",4,20,0.554187192118227,0.923645320197044,1.47783251231527,9,15,24,4,14,4,3,1,0.0696302633018671,2,0,2,0,0.00301985593826319,1,0.00113411494794592,1,0,1,99.471804716953,0.150195260082123,49.7359023584765,0.0564062303143267,0,0,0,0,0,0,0,0
65,"hydric",3,"Island Lake",42.49826164,-83.71911588,"Q","ILCC2","SW from ILCC. Forested dry area. ","Quercus bicolor  30.4 cm.","08_07_2024","","Beech - sugar maple - American hophornbeam - Tilia - Carpinus - Prunus - swamp white oak - silver maple - elm in flooded part - cottonwood. Some ash in the 8-9 cm range (maybe white or green)","34.5 cm Quercus bicolor","Quercus bicolor","34.5",1,"y","y","y",4,3.875,0.369458128078818,0.246305418719212,0.61576354679803,6,4,10,4,15,4,0,2,0.0746038535377147,6,2,4,0,0.00600986674631727,5,0.00525509911129233,5,0,1,298.415414150859,0.298906145682291,248.679511792382,0.261367096283352,0,0,0,0,0,0,0,0
66,"hydric",4,"Island Lake",42.49755544,-83.7194028,"Q","ILCC3","Contine S from ILCC2.  Last plot of the three-- often under H20. ","Acer saccharinum  14.7 cm.","08_07_2024","Witness: flagged 20.8 cm Acer saccharinum. From it: go approx. 1 meter south to get to center. From a large tip-up mound: go approx 5 meters North.","Water 2-3 feet deep.","Tree dead - approx 14 cm DBH - Note: found only 1 PVC and the tree tag. Ran out of time to replace other PVCs.","Missing","fallen",NA,"n","n","n",4,2.875,0,0.246305418719212,0.246305418719212,0,4,4,4,9,NA,NA,1,0.0447623121226288,3,3,0,0,0.00279837365618511,3,0.00279837365618511,3,0,0,149.207707075429,0.139179638926555,149.207707075429,0.139179638926555,0,0,0,0,0,0,0,0
67,"mesic",2,"Indian Springs",42.70259786,-83.49652337,"R","ISMATDRY","  Take Nature Trail through construction area, meadow, stay to left.  Enter woods on left before reaching old stove landmark on trail.  ","Acer saccharum (2 stems)                   15.2 + 16.8 cm.","07_02_2024","","","24.7 cm + 23.7 cm 2-stem Acer saccharum - tree tag likely swallowed","Acer saccharum","48.4",2,"y","y","y",4,0.125,0.061576354679803,0,0.061576354679803,1,0,1,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"mesic",3,"Indian Springs",42.70213825,-83.49648848,"R","ISMATDRY2","SE of ISMATDRY. Head toward the back.","Acer saccharum 9.0 cm.","07_02_2024","","","9.8 cm Acer saccharum","Acer saccharum","9.8",1,"y","y","y",4,21.125,0.554187192118227,1.72413793103448,2.27832512315271,9,28,37,4,31,1,4,0,0.154181297311277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"mesic",2,"Indian Springs",42.70223513,-83.49584728,"R","ISMATDRY3","  Take Nature Trail to old stove, go left into plot past ISDRYMAT.  Use GPS to navigate to plot.  Old wire fence runs across SE quadrant of plot.  ","Tilia americana (2 stems) 5.4 + 16.6 cm.","07_02_2024","","The site has a wetter (south) side that is covered with interesting sedges and grasses (along with elms - silver maple - swamp white oak - musclewood). The drier side of the site is beech - sugar maple - red oak","10.1 cm + 22.8 cm 2-stem Tilia americana","Tilia americana","32.9",2,"y","y","y",4,21.25,1.35467980295567,2.70935960591133,4.064039408867,22,44,66,4,1,NA,NA,0,0.00497359023584765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"hydric",3,"Indian Springs",42.7016922,-83.49741597,"S","ISLD","(low ash density) Wet plots. NWest of ISMATDRY2.  Enter stand past old stove landmark, before bridge, follow deer trail to right.  Head SE.  ","Carpinus caroliniana    (6 stems, 3 primary) 12.1 + 10 + 10.7 + 3.6 + 2.8 + 1.9 cm.","07_02_2024","Witness tree: 12.9 cm Acer saccharum that is shaped as an elbow is 4.3 m - 315 degrees to the C. caroliniana","There are lots of about 5 cm DBH black ash in the 8-18 m. They have some older epicormic sprouts and some bad bark splitting.","4.7 cm + 3.0 cm + 5.4 cm + 10.8 cm 4-stem (2 of the six stems must have died)","Carpinus caroliniana","23.9",4,"y","y","y",4,17.5,2.40147783251232,1.60098522167488,4.00246305418719,39,26,65,4,5,NA,NA,0,0.0248679511792382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"hydric",4,"Indian Springs",42.70129243,-83.49740698,"S","ISLD2","South of ISLD, closest to road.  Can be under water.","Acer saccharinum 13.3 cm.","07_02_2024","","There are many green and black ash trees in the 5-10 cm range in the 8-18 m. The green seem to grow to bigger sizes before being killed - while the black ash die around about 8 cm.","18.9 cm Acer saccharinum (tree tag partly swallowed)","Acer saccharinum","18.9",1,"y","y","y",4,11.125,0.246305418719212,0.923645320197044,1.16995073891626,4,15,19,4,3,NA,NA,0,0.0149207707075429,2,1,1,0,0.00233184714712702,2,0.00233184714712702,2,0,0,99.471804716953,0.115976522024402,99.471804716953,0.115976522024402,3,1,0.179294619731186,0.0120762821603992,29.4731381818611,1.76145836753383,9.82437939395368,0.118641977612196
72,"hydric",4,"Indian Springs",42.70142849,-83.49779967,"S","ISLD3","West of ISLD just NW of 3 large tamaraks.  Farthest back close to road.","Tamarack  34.7 cm.","07_17_2024","","","38.1 cm Tamarack","Larix laricina","38.1",1,"y","y","y",4,5.125,0.184729064039409,0.61576354679803,0.800492610837439,3,10,13,4,30,4,1,0,0.149207707075429,49,3,45,1,0.139232244814446,39,0.119609857100124,31,8,10,2437.05921556535,6.92484133324278,1939.70019198058,5.9489041738431,3,3,0.0287086590666669,0.0287086590666669,29.4731381818611,0.282044758562604,29.4731381818611,0.282044758562604
73,"xeric",2,"Indian Springs",42.7035437,-83.49463936,"T","ISMATDE","(Deer exclosure) Take path to second deer exclosure (in wooded area).  Go SE into stand (left) to flagged red oak (past triple ash tree).  ","Quercus rubra   22 cm.","06_26_2024","","Site dominated by Acer - Ostrya - Quercus - Prunus - Carya","29.8 cm Quercus rubra - tree tag missing","Quercus rubra","29.8",1,"y","y","y",4,4.875,1.04679802955665,0.369458128078818,1.41625615763547,17,6,23,4,1,NA,NA,0,0.00497359023584765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,"xeric",3,"Indian Springs",42.70375308,-83.49415138,"T","ISMATDE2","NE of ISMATDE.  Short distance from trail.  Take nature trail, turn left (SE) into woods at very large  beech about 4 m from trail edge.  ","Quercus bicolor  42.1 cm.","06_26_2024","","Dominated by swamp white oak (falling over) - hickories - maples. Sparse understory - with some very interesting sedges and grasses","55.2 cm Quercus bicolor - tree tag missing","Quercus bicolor","55.2",1,"y","y","y",4,4.125,0.061576354679803,0.307881773399015,0.369458128078818,1,5,6,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"xeric",2,"Indian Springs",42.70278921,-83.49360562,"T","ISMATDE3","SE of ISMATDE2.  Cross low, wet area, beware of wire fence that runs through W side of stand. Farthest back of group. ","Prunus serotina  (2 stems) 13.2 + 18.3 cm.","06_26_2024","","See rows 75_north and 75_south","See row 75_south","","",NA,"y","y","y",4,1.125,0.431034482758621,0,0.431034482758621,7,0,7,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,"hydric",4,"Indian Springs",42.70463303,-83.49570897,"U","ISRIP","Farthest back.  From #77 go W back into open woods w/stream on right. To exit go S thru tangle, skunk cabbage, forest, & watch out for downed fence before trail.   ","Acer rubra                     14.5 cm.","06_26_2024","","Very flooded: about 1.5 ft of standing water","17.5 cm + 8.2 cm 2-stem Acer spp.","Acer spp.","25.7",2,"y","y","y",4,0.875,0,0.061576354679803,0.061576354679803,0,1,1,4,0,NA,NA,0,0,1,1,0,0,0.000660519855417254,1,0.000660519855417254,1,0,0,49.7359023584765,0.0328515510348676,49.7359023584765,0.0328515510348676,0,0,0,0,0,0,0,0
77,"hydric",4,"Indian Springs",42.70481219,-83.494821,"U","ISRIP2","2nd plot.  W. of ISRIP3 #78. Before remains of old bridge over stream.","Acer saccharinum         28.6 cm.","06_26_2024","200 degrees from a gigantic 6-stem maple","Lots of maples - maybe musclewoods (dying) - swamp white oak - ferns - about 1.5 feet of standing water","38.2 cm Acer saccharinum","Acer saccharinum","38.2",1,"y","y","y",4,0,0,0,0,0,0,0,4,5,NA,NA,0,0.0248679511792382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,"hydric",4,"Indian Springs",42.70487822,-83.4940807,"U","ISRIP3","Turn right into stand at tilting bench on right side of trail.  Down slight incline.  Center tree visible from bench. Plot numbers run backwards in transect.","Acer rubrum 20.5 cm.","05_31_2024","","The area is covered in fallen ash trees. Tall grasses have taken over. Mix of black and green ash in the non-flooded area. Flooded = grasses.","24.6 dbh Acer - tree tag engulfed","Acer spp.","24.6",1,"y","y","y",4,6.375,0.246305418719212,0.492610837438424,0.738916256157636,4,8,12,4,20,NA,NA,2,0.099471804716953,12,11,1,0,0.00985124916349419,12,0.00985124916349419,12,0,0,596.830828301718,0.48996076650457,596.830828301718,0.48996076650457,0,0,0,0,0,0,0,0
79,"mesic",3,"Indian Springs",42.70480262,-83.49706373,"V","ISOPEN","Farthest back plot in Fairy Tale Forest. Take trail past stove, bridge etc. to fork in trail.  Take path to right.  Turn right (E) into stand about 25 feet before reaching large beech tree with J + A carved into it.  Plot is NE of ISOPEN3.  ","Quercus rubra (on big mound) 35.8 cm.","07_24_2024","","Maples - hickory - red oak - tuliptree - Tilia - elms in flooded part","42.8 cm Quercus rubra (on a big mound)","Quercus rubra","42.8",1,"y","y","y",4,51.625,2.52463054187192,5.48029556650246,8.00492610837438,41,89,130,4,14,0,4,0,0.0696302633018671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,"mesic",2,"Indian Springs",42.70388702,-83.49893342,"V","ISOPEN2","Take trail past stove, bridge.  Bench  in open area on L side of trail is a landmark to enter the stand at right (E).  If you come to fork in the trail you've gone too far. Before Fairy Tale Forest. ","Quercus rubra  12.6 cm.","07_24_2024","","Bitternut hickory - red oak - sugar maple - cherry - swamp white oak - understory covered in ash seedlings","17.4 cm Quercus rubra","Quercus rubra","17.4",1,"y","y","y",4,14.25,3.20197044334975,1.10837438423645,4.31034482758621,52,18,70,4,1,NA,NA,0,0.00497359023584765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,"mesic",2,"Indian Springs",42.7045196,-83.49803841,"V","ISOPEN3","Take trail past stove, bridge.  Take right trail at fork past 2nd shelter.  Turn into stand at right (SE) at Y-shaped beech tree with hollow at base which sits ~9m from trail edge.  Plot is 1.11 mi from Nature Ctr.  Middle plot.","Carpinus caroliniana (2 stems) 5.7 + 2 cm.","07_24_2024","From a 4-stem Tilia (25.2 cm is the smallest stem): go 288 degrees and ? Meters.","","Tree down - missing. Rebar intact.","Missing","fallen",NA,"y","y","y",4,8,2.33990147783251,0.738916256157636,3.07881773399015,38,12,50,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,"xeric",2,"Highland",42.6489291,-83.55636056,"W","HLMATFR","Farthest back transect at Haven Hill area. Park at Haven Hill Lake parking lot.  Take nature trail at N end of parking lot.  Cross dam.  Stay to right 1st fork in trail (white & yellow foot trail).  Stay left at 2nd fork (shubby oak on right and tall grass at left).  Stay to right, stream on left, wetland on right.","Acer saccharum  8.9 cm.","07_11_2024","Witness tree: shaggy barked hickory (46.8 cm)(flagged). From the hickory: go 286 degrees and 10.77 meters.","","Tree decomposed. I moved the rebar about a foot to get it out from under a log.","Missing","fallen",NA,"y","y","y",4,1.125,0.123152709359606,0.123152709359606,0.246305418719212,2,2,4,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,"xeric",2,"Highland",42.64858561,-83.55689617,"W","HLMATFR2","See directions above.SW of HLMATFR.  Behind HLMATFR.","Acer rubrum                   14 cm.","07_11_2024","","Many maples - Carpinus - Ostrya","15.6 cm Acer spp.","Acer spp.","15.6",1,"y","y","y",4,1.375,0.123152709359606,0.184729064039409,0.307881773399015,2,3,5,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,"xeric",2,"Highland",42.64939898,-83.55761483,"W","HLMATFR3","Go back out to trail from HLMATFR2.  Turn left, heading west.  Last plot on left.","Ostraya virginiana (2 stems) 17.7 + 16 cm.","07_11_2024","About 3 meters North of a large tip-up mound. Witness: 2-stem Ostrya (11 cm + 4.9 cm). From this tree: go 113 degrees and 5.6 meters to get to center.","Red oaks - sugar maple - beech - hickory","Tree down. (Ostrya 2-stem)","Ostrya virginiana","fallen",2,"y","y","y",4,0.375,0.123152709359606,0,0.123152709359606,2,0,2,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"mesic",1,"Highland",42.64587606,-83.55093888,"X","HLRIP","Park at Haven Hill.  Take nature trail at N end of parking lot.  Plot is on R side of trail (E) on hill between trail and park road.  Enter at meteor rock. Middle plot up hill from 86.","Populus grandidentata 14.8 cm.","07_11_2024","From between the two Populus on the path (on map): go 80 degrees and 20.0 meters. Witness tree: 7.7 cm sugar maple. From this: go 154 degrees and 3.80 meters to get to center.","White oak - sugar maple - Populus (bigtooth aspen?) - cherry - swamp white oak (?) - red oak - beech - white oak - swampy part has an interesting sedge (see photo)","We cannot find the center tree. We found 2 microplots as well as a depression where a tree once was. The North and West microplots were replaced.","Missing","fallen",NA,"y","y","y",4,19.375,2.33990147783251,0.800492610837439,3.14039408866995,38,13,51,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"mesic",3,"Highland",42.64514371,-83.55089568,"X","HLRIP2","Park at Haven Hill.  Enter stand at right at ""meteor"" (large porous rock)  on the right side of trail.  Plot is SE of HLRIP","Populus grandidentata 30.9 cm.","05_31_2024","","There are lots of little ash seedlings (below 137 cm). There are also lots of invasive plants like Autumn olive - bittersweet (Celastrus I think) - barberry - multiflora rose - and others. Also two different types of dogwood - maybe a viburnum - lots of bigger oaks - basswood. There were a couple of ash trees (about 7-10 cm DBH) that were entirely dead. Would they be why there are so many ash seedlings?","37.3 cm dbh bigtooth aspen","Populus grandidentata","37.3",1,"y","y","y",4,40.5,4.31034482758621,2.89408866995074,7.20443349753695,70,47,117,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,"mesic",3,"Highland",42.64637211,-83.55062169,"X","HLRIP3","NE of HLRIP.  Can enter at bend in trail or go downhill from #85 HLRIP.","Prunus serotina  (2 stems)                       30 + 11.2 cm.","07_11_2024","","Flooded area in the 8-18 m (North side) has some black ash small trees. Tilia - sugar or red maple - cherry - beech - bitternut hickory (?) - some musclewood (dying)","13.6 cm + 33.8 cm Prunus serotina 2-stem","Prunus serotina","47.4",2,"y","y","y",4,28,4.00246305418719,1.72413793103448,5.72660098522168,65,28,93,4,0,NA,NA,0,0,1,0,0,1,0.000962112750161874,0,0,0,0,1,49.7359023584765,0.0478515457998962,0,0,0,0,0,0,0,0,0,0
88,"xeric",1,"Highland",42.6470476,-83.55230573,"Y","HLUP","Park at Haven Hill.  Take nature trail at N end of parking lot.  Go past marker 14 on CC ski trail.  Plot is on hill to left of trail.  Enter stand opposite large dead debarked tree on right of path (next to white oak with large canker about 15ft up).  Before HLMATFR on left hillside.","Acer rubrum  18.2 cm.","07_11_2024","","A slightly open area in the East is filled with Desmodium (tick-trefoil) and a mystery herbaceous plant (see photo). Dogwoods are doing well in the open areas. Most of the plot has large oaks (likely red oak)(see acorn photo)(leaf litter is dominated by red oak) - some red maple","21.9 cm Acer spp.","Acer spp.","21.9",1,"y","y","y",4,17.375,2.0935960591133,1.47783251231527,3.57142857142857,34,24,58,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,"xeric",1,"Highland",42.64705538,-83.55397741,"Y","HLUP2+A89:F89","W of HLUP, on hillside facing the lake","Quercus alba  48.3 cm.","07_11_2024","","White oaks - hickories - red maple - Sassafras - red or black oak - Ostrya. Wet part to the South has cattail - poison sumac.","54.4 cm Quercus alba","Quercus alba","54.4",1,"y","y","y",4,1.125,0,0.246305418719212,0.246305418719212,0,4,4,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
